column_name,pandas_dtype,role_or_use_status,governance_category,description,missing_count,unique_values,sample_values
Age,int64,Audit-only,Protected/sensitive audit attribute,Employee age; excluded from scoring and retained for group-impact review.,0,43,"41, 49, 37, 33, 27"
Attrition,object,Target,Outcome,"Binary target: Yes if employee left, No if employee stayed.",0,2,"Yes, No"
BusinessTravel,object,Scoring + review,Medium proxy-risk / governance-sensitive,Business travel frequency; may reflect role design and caregiver/disability accommodation issues.,0,3,"Travel_Rarely, Travel_Frequently, Non-Travel"
DailyRate,int64,Scoring candidate,Business/HR context,Daily rate field; requires business justification before production use.,0,886,"1102, 279, 1373, 1392, 591"
Department,object,Scoring candidate,Business/HR context,Department assignment; may reflect organizational context.,0,3,"Sales, Research & Development, Human Resources"
DistanceFromHome,int64,Scoring + review,Medium proxy-risk / governance-sensitive,"Commute distance; may proxy geography, socioeconomic status, or caregiving constraints.",0,29,"1, 8, 2, 3, 24"
Education,int64,Scoring candidate,Business/HR context,Education level; requires job-relatedness/business justification.,0,5,"2, 1, 4, 3, 5"
EducationField,object,Scoring + review,Medium proxy-risk / governance-sensitive,Education field; may encode socioeconomic or occupational segregation patterns.,0,6,"Life Sciences, Other, Medical, Marketing, Technical Degree"
EmployeeCount,int64,Excluded,Identifier/constant,Constant field; excluded from scoring.,0,1,1
EmployeeNumber,int64,Excluded,Identifier/administrative,Employee identifier; excluded from scoring.,0,1470,"1, 2, 4, 5, 7"
EnvironmentSatisfaction,int64,Scoring + review,Medium proxy-risk / governance-sensitive,Survey-derived workplace sentiment; useful for support but sensitive in monitoring.,0,4,"2, 3, 4, 1"
Gender,object,Audit-only,Protected/sensitive audit attribute,Gender; excluded from scoring and retained for group-impact review.,0,2,"Female, Male"
HourlyRate,int64,Scoring candidate,Business/HR context,Hourly rate field; requires business justification before production use.,0,71,"94, 61, 92, 56, 40"
JobInvolvement,int64,Scoring + review,Workplace/assessment context,Workplace assessment; monitor for manager/team effects.,0,4,"3, 2, 4, 1"
JobLevel,int64,Scoring + review,High proxy-risk / governance-sensitive,"Job level; linked to career stage and compensation, with age/tenure proxy risk.",0,5,"2, 1, 3, 4, 5"
JobRole,object,Scoring + review,Medium proxy-risk / governance-sensitive,Role assignment; may reflect organizational conditions or unequal career ladders.,0,9,"Sales Executive, Research Scientist, Laboratory Technician, Manufacturing Director, Healthcare Representative"
JobSatisfaction,int64,Scoring + review,Medium proxy-risk / governance-sensitive,"Workplace sentiment; should support assistance, not individual penalty.",0,4,"4, 2, 3, 1"
MaritalStatus,object,Audit-only,Sensitive audit attribute,Marital status; excluded from scoring and retained for group-impact review.,0,3,"Single, Married, Divorced"
MonthlyIncome,int64,Scoring + review,High proxy-risk / governance-sensitive,Compensation field; organizationally assigned and may reflect structural inequality.,0,1349,"5993, 5130, 2090, 2909, 3468"
MonthlyRate,int64,Scoring candidate,Business/HR context,Monthly rate field; requires business justification before production use.,0,1427,"19479, 24907, 2396, 23159, 16632"
NumCompaniesWorked,int64,Scoring + review,Medium proxy-risk / governance-sensitive,"Employment mobility history; may proxy age, career stage, or labor-market access.",0,10,"8, 1, 6, 9, 0"
Over18,object,Excluded,Identifier/constant,Constant field; excluded from scoring.,0,1,Y
OverTime,object,Scoring + review,High proxy-risk / governance-sensitive,Overtime status; may reflect workload or managerial practice.,0,2,"Yes, No"
PercentSalaryHike,int64,Scoring candidate,Business/HR context,Salary-hike percentage; requires business justification before production use.,0,15,"11, 23, 15, 12, 13"
PerformanceRating,int64,Scoring + review,Workplace/assessment context,Performance assessment; monitor for manager/team effects.,0,2,"3, 4"
RelationshipSatisfaction,int64,Scoring + review,Workplace/assessment context,Survey/relationship signal; monitor for manager/team effects.,0,4,"1, 4, 2, 3"
StandardHours,int64,Excluded,Identifier/constant,Constant field; excluded from scoring.,0,1,80
StockOptionLevel,int64,Scoring + review,Medium proxy-risk / governance-sensitive,"Compensation structure; may reflect level, role allocation, or inequality.",0,4,"0, 1, 3, 2"
TotalWorkingYears,int64,Scoring + review,Medium proxy-risk / governance-sensitive,Career experience; may proxy age or career stage.,0,40,"8, 10, 7, 6, 12"
TrainingTimesLastYear,int64,Scoring + review,Workplace/assessment context,Training history; use with role-specific justification.,0,7,"0, 3, 2, 5, 1"
WorkLifeBalance,int64,Scoring + review,Medium proxy-risk / governance-sensitive,Work-life balance; requires accommodation and caregiver-sensitivity review.,0,4,"1, 3, 2, 4"
YearsAtCompany,int64,Scoring + review,Medium proxy-risk / governance-sensitive,Company tenure; may proxy age/career stage.,0,37,"6, 10, 0, 8, 2"
YearsInCurrentRole,int64,Scoring + review,Medium proxy-risk / governance-sensitive,Role tenure; may proxy age/career stage and internal mobility constraints.,0,19,"4, 7, 0, 2, 5"
YearsSinceLastPromotion,int64,Scoring + review,Medium proxy-risk / governance-sensitive,Promotion history; may reflect structural career progression inequities.,0,16,"0, 1, 3, 2, 7"
YearsWithCurrManager,int64,Scoring + review,Medium proxy-risk / governance-sensitive,Manager tenure; may reflect organizational placement and manager effects.,0,18,"5, 7, 0, 2, 6"
