column_name,data_type,description,possible_values,example,role,importance,notes
type,categorical,Transaction type,"CASH_OUT, PAYMENT, CASH_IN, TRANSFER, DEBIT",TRANSFER,feature,High,TRANSFER and CASH_OUT show 10-15x higher fraud rates
amount,numerical,Transaction amount,"$1 - $10,000,000",285000,feature,High,Large transfers more susceptible to fraud
oldbalanceOrg,numerical,Origin account balance before transaction,"$0 - $50,000,000",320000,feature,Critical,Large balances (>$94K) targeted by fraudsters
newbalanceOrig,numerical,Origin account balance after transaction,"$0 - $50,000,000",150,feature,Critical,Near-zero balance (<$369) after large transfer indicates drainage
oldbalanceDest,numerical,Destination account balance before transaction,"$0 - $50,000,000",125000,feature,Critical,Used to detect destination unchanged anomaly
newbalanceDest,numerical,Destination account balance after transaction,"$0 - $50,000,000",125000,feature,Critical,Fraudulent transactions often show no destination change
balance_change_orig,numerical,Derived: newbalanceOrig - oldbalanceOrg,-$50M to +$50M,-319850,feature,High,Large negative changes indicate account drainage
balance_change_dest,numerical,Derived: newbalanceDest - oldbalanceDest,-$50M to +$50M,0,feature,Critical,Near-zero change despite transfer is key fraud indicator
amount_to_balance_ratio,numerical,Derived: amount / (oldbalanceOrg + 1),0.0 - 1.0+,0.89,feature,High,High ratios (>0.7) indicate significant account impact
dest_to_amount_ratio,numerical,Derived: balance_change_dest / (amount + 1),-1.0 to 1.0+,0.0,feature,Critical,TOP PATTERN: ratio ≠ 1.0 detects balance manipulation
dest_unchanged,binary,Derived: abs(newbalanceDest - oldbalanceDest) < 100,"0 (changed), 1 (unchanged)",1,feature,Critical,Destination unchanged despite transfer is fraud signature
origin_near_zero,binary,Derived: newbalanceOrig < 500,"0 (no), 1 (yes)",1,feature,High,Account drained to near-zero indicates fraud
origin_significant_drop,binary,Derived: (oldbalanceOrg - newbalanceOrig) / oldbalanceOrg > 0.7,"0 (no), 1 (yes)",1,feature,High,Balance drops >70% indicate drainage attempt
is_cash_out,binary,Derived: type == CASH_OUT,"0 (no), 1 (yes)",0,feature,Medium,CASH_OUT transactions elevated fraud risk
is_transfer,binary,Derived: type == TRANSFER,"0 (no), 1 (yes)",1,feature,Medium,TRANSFER transactions elevated fraud risk
high_value,binary,Derived: amount > 100000,"0 (no), 1 (yes)",1,feature,Medium,High-value transactions (>$100K) warrant scrutiny
medium_value,binary,Derived: 50000 <= amount < 100000,"0 (no), 1 (yes)",0,feature,Low,Medium-value segment ($50K-$100K)
isFraud,binary,TARGET: Fraud indicator,"0 (legitimate), 1 (fraud)",1,target,N/A - Target variable,"0.13% fraud rate (realistic imbalance); 65% clear, 25% partial, 10% subtle patterns"
