column_name,data_type,description,possible_values,example,role,importance,notes
cet1_ratio,numerical,Common Equity Tier 1 ratio (percentage),8.0% - 20.0%,9.8,feature,Critical,Basel III minimum: 4.5% + 2.5% buffer = 7.0%; <10% is risk indicator
tier1_ratio,numerical,Tier 1 capital ratio (percentage),9.0% - 20.0%,12.8,feature,High,Basel III minimum: 6.0%; includes CET1 + AT1
total_capital_ratio,numerical,Total capital ratio (percentage),11.0% - 24.0%,15.2,feature,High,Basel III minimum: 8.0%; includes Tier 1 + Tier 2
leverage_ratio,numerical,Leverage ratio (percentage),3.0% - 8.0%,4.2,feature,Critical,Basel III minimum: 3.0%; <4.6% indicates undercapitalization
rwa_density,numerical,Risk-weighted assets as percentage of total assets,38% - 86%,66,feature,Medium,Higher RWA density indicates riskier asset portfolio
loan_to_deposit_ratio,numerical,Loan-to-deposit ratio (percentage),55% - 112%,87,feature,Medium,Ratios >100% indicate funding pressure
npl_ratio,numerical,Non-performing loan ratio (percentage),0.5% - 10.0%,3.4,feature,High,NPL >3% indicates asset quality deterioration; stress scenario key driver
concentration_risk,numerical,Largest exposure as percentage of total capital,7% - 44%,25,feature,Medium,High concentration (>25%) amplifies specific borrower risk
liquidity_coverage_ratio,numerical,LCR: high-quality liquid assets / net cash outflows (percentage),88% - 190%,97,feature,Critical,Basel III minimum: 100%; <104% indicates liquidity stress
net_stable_funding_ratio,numerical,NSFR: available stable funding / required stable funding (percentage),94% - 142%,106,feature,High,Basel III minimum: 100%; measures structural funding stability
market_risk_rwa_pct,numerical,Market risk RWA as percentage of total RWA,3% - 23%,12,feature,Low-Medium,Higher percentages indicate trading book exposure
operational_risk_rwa_pct,numerical,Operational risk RWA as percentage of total RWA,7% - 25%,15,feature,Low-Medium,Operational losses and business process risks
total_assets_bn,numerical,Total assets in billions USD,$0.5B - $400B,45.2,feature,Low,Bank size; used to derive bank_size category
bank_size,categorical,Bank size category,"small (<$10B), medium ($10B-$50B), large (>$50B)",medium,feature,Low,Derived from total_assets_bn; large banks face stricter requirements
business_model,categorical,Primary business model,"retail, commercial, universal",commercial,feature,Low,Different models have different risk profiles
fails_stress_test,binary,TARGET: Fails CCAR/DFAST stress test,"0 (passes), 1 (fails)",1,target,N/A - Target variable,8% failure rate; fails if post-stress CET1 < 4.5% or other Basel III violations
